,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
731,世纪瑞尔,1,27720.000000000004,300150.SZ,3013296172.9500003,99.999%
732,华虹计通,1,26880.000000000004,300330.SZ,1674960000.0,99.998%
733,科远智慧,1,26600.000000000004,002380.SZ,3460679578.58,99.999%
734,百邦科技,1,26600.000000000004,300736.SZ,1228684778.4,99.998%
735,建滔积层板,1,26040.000000000004,,,nan%
736,渤海轮渡,1,18900.000000000004,603167.SH,3806093154.150001,100.0%
737,中广天择,2,16830.0,603721.SH,3840200000.0,100.0%
738,熙菱信息,2,16170.0,300588.SZ,1694550570.0000002,99.999%
739,达志科技,2,15290.0,300530.SZ,4109246189.9999995,100.0%
740,山东高速,1,15190.000000000002,600350.SH,20303119916.539997,100.0%
741,昊华科技,2,13090.0,600378.SH,17986290619.42,100.0%
742,国投资本,4,12660.0,600061.SH,54614516072.84,100.0%
743,财通证券,2,12660.0,601108.SH,37505050000.0,100.0%
744,劲胜智能,2,12650.0,300083.SZ,8370981847.800001,100.0%
745,赛福天,2,10670.0,603028.SH,2433216000.0,100.0%
746,横河模具,2,9570.0,300539.SZ,1599269859.73,99.999%
747,山煤国际,2,9020.0,600546.SH,18218771926.6,100.0%
748,省广集团,2,8800.0,002400.SZ,5020810928.639999,100.0%
749,亿通科技,2,8800.0,300211.SZ,2182293765.33,100.0%
750,希慎兴业,1,8400.0,,,nan%
751,华润置地,1,7320.0,,,nan%
752,招商蛇口,1,7280.000000000001,001979.SZ,134100564824.38,100.0%
753,利欧股份,2,6460.0,002131.SZ,29732418737.850002,100.0%
754,梅花生物,1,5360.0,600873.SH,13441574132.540003,100.0%
755,百联股份,1,5270.0,600827.SH,13506152645.69,100.0%
756,北京君正,4,3860.0,300223.SZ,18824127608.0,100.0%
757,蓝色光标,2,3230.0,300058.SZ,15668627975.86,100.0%
758,航锦科技,2,3080.0,000818.SZ,15598412900.0,100.0%
759,联创电子,2,2310.0,002036.SZ,10951111961.710001,100.0%
760,和而泰,2,2310.0,002402.SZ,12696778549.920002,100.0%
761,万业企业,2,2310.0,600641.SH,19025346452.800003,100.0%
762,深天马Ａ,1,2080.0,000050.SZ,29759227931.03,100.0%
763,海航控股,2,1830.0,600221.SH,27898159747.8,100.0%
